url,source_locale,http_status,final_url,redirect,title,description,h1_count,h1,canonical,canonical_self,robots,hreflang,lang,internal_link_count,broken_links,cross_locale_links,visible_language_mismatch,placeholder_or_editorial_leak,duplicate_title,duplicate_canonical,versions,error
https://funnytools.win/tools/class-rank-percentile-calculator/,zh,200,https://funnytools.win/tools/class-rank-percentile-calculator/,False,班級排名百分比計算器｜名次轉 PR - FunnyTools,依班級名次和總人數估算百分等級與前百分比，附公式與教育應用說明。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""排名百分比計算器""]",https://funnytools.win/tools/class-rank-percentile-calculator/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/class-rank-percentile-calculator/""}]",zh-Hant,40,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/grade-average/,zh,200,https://funnytools.win/tools/grade-average/,False,成績平均計算器｜算成績平均、加權總分，附試算範例 - FunnyTools,免費成績平均計算器，貼上多筆考試、作業或小考分數與權重，立即算出總分、簡單平均與加權平均，教師甄試、學期成績試算都好用。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""成績平均計算器""]",https://funnytools.win/tools/grade-average/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/grade-average/""}]",zh-Hant,39,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/independent-samples-t-test-calculator/,zh,200,https://funnytools.win/tools/independent-samples-t-test-calculator/,False,獨立樣本 t 檢定計算器｜Welch t test - FunnyTools,輸入兩組 N、平均數與標準差，計算 Welch 獨立樣本 t 檢定、自由度與雙尾 p 值。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""獨立樣本 t 檢定簡易計算器""]",https://funnytools.win/tools/independent-samples-t-test-calculator/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/independent-samples-t-test-calculator/""}]",zh-Hant,39,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/percentile-rank-calculator/,zh,200,https://funnytools.win/tools/percentile-rank-calculator/,False,PR 百分等級計算器｜Percentile Rank 線上估算 - FunnyTools,輸入低於、同分與總人數，使用中點法計算 PR 百分等級，附公式、教育應用與研究報告提示。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""PR 百分等級計算器""]",https://funnytools.win/tools/percentile-rank-calculator/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/percentile-rank-calculator/""}]",zh-Hant,38,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/random-name-picker/,zh,200,https://funnytools.win/tools/random-name-picker/,False,姓名抽籤｜免費隨機姓名抽選器線上工具 - FunnyTools,免費姓名抽籤工具，一行輸入一個名字，可抽一位或多位並自動移除，適合課堂點名、活動抽獎與團隊分工。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""隨機姓名抽選器""]",https://funnytools.win/tools/random-name-picker/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/random-name-picker/""}]",zh-Hant,33,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/standard-deviation/,zh,200,https://funnytools.win/tools/standard-deviation/,False,標準差計算器｜平均數變異數與樣本標準差 - FunnyTools,輸入一組數字，計算平均、中位數、全距、母體與樣本變異數和標準差，適合班級成績與研究資料檢查。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""標準差計算器""]",https://funnytools.win/tools/standard-deviation/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/standard-deviation/""}]",zh-Hant,39,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/t-score-calculator/,zh,200,https://funnytools.win/tools/t-score-calculator/,False,T分數換算器｜Z分數轉T分數公式與範例 - FunnyTools,T分數換算器：輸入Z分數，用 T = 50 + 10z 立即算出T分數，附教育測驗、班級成績與教師甄試換算範例。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""T 分數計算器""]",https://funnytools.win/tools/t-score-calculator/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/t-score-calculator/""}]",zh-Hant,41,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/teacher-exam-score-converter/,zh,200,https://funnytools.win/tools/teacher-exam-score-converter/,False,教甄成績計算器｜免費試算筆試口試試教加權分數 - FunnyTools,免費教師甄試成績計算器，輸入筆試、口試、試教分數與權重，立即算出加權總成績，方便考生整理備考紀錄。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""教師甄試成績轉換模擬器""]",https://funnytools.win/tools/teacher-exam-score-converter/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/teacher-exam-score-converter/""}]",zh-Hant,41,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/weighted-average-calculator/,zh,200,https://funnytools.win/tools/weighted-average-calculator/,False,加權平均計算器｜分數權重與平均公式 - FunnyTools,輸入多筆分數與權重，計算加權平均，適合成績、評分表、教師甄試與專題配分範例。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""加權平均計算器""]",https://funnytools.win/tools/weighted-average-calculator/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/weighted-average-calculator/""}]",zh-Hant,38,[],[],False,False,False,False,"[""v5.147.1""]",
https://funnytools.win/tools/z-score-calculator/,zh,200,https://funnytools.win/tools/z-score-calculator/,False,Z 分數計算器｜標準分數公式與班級成績解讀 - FunnyTools,輸入原始分數、平均數與標準差，計算 Z 分數並理解分數距離平均幾個標準差。 本工具可免費使用且不需註冊，輸入內容與檔案均在瀏覽器本機處理，不會主動上傳至 FunnyTools 免費線上工具箱 伺服器。,1,"[""Z 分數計算器""]",https://funnytools.win/tools/z-score-calculator/,True,,"[{""lang"": ""zh-TW"", ""href"": ""https://funnytools.win/tools/z-score-calculator/""}]",zh-Hant,38,[],[],False,False,False,False,"[""v5.147.1""]",
